Bing Spatial Data Services, 2.0
Id, GeocodeRequest/Culture, GeocodeRequest/Query, GeocodeRequest/Address/AddressLine, GeocodeRequest/Address/AdminDistrict, GeocodeRequest/Address/CountryRegion, GeocodeRequest/Address/AdminDistrict2, GeocodeRequest/Address/FormattedAddress, GeocodeRequest/Address/Locality, GeocodeRequest/Address/PostalCode, GeocodeRequest/Address/PostalTown, GeocodeRequest/ConfidenceFilter/MinimumConfidence,ReverseGeocodeRequest/IncludeEntityTypes, ReverseGeocodeRequest/Location/Latitude, ReverseGeocodeRequest/Location/Longitude, GeocodeResponse/Address/AddressLine, GeocodeResponse/Address/AdminDistrict, GeocodeResponse/Address/CountryRegion, GeocodeResponse/Address/AdminDistrict2, GeocodeResponse/Address/FormattedAddress, GeocodeResponse/Address/Locality, GeocodeResponse/Address/PostalCode, GeocodeResponse/Address/PostalTown, GeocodeResponse/Address/Neighborhood, GeocodeResponse/Address/Landmark, GeocodeResponse/Confidence, GeocodeResponse/Name, GeocodeResponse/EntityType, GeocodeResponse/MatchCodes, GeocodeResponse/Point/Latitude, GeocodeResponse/Point/Longitude, GeocodeResponse/BoundingBox/SouthLatitude, GeocodeResponse/BoundingBox/WestLongitude,GeocodeResponse/BoundingBox/NorthLatitude,GeocodeResponse/BoundingBox/EastLongitude, GeocodeResponse/QueryParseValues, GeocodeResponse/GeocodePoints, StatusCode, FaultReason, TraceId
73,en-US,"1040 Lexington Avenue ,  Manhattan, NY"
74,en-US,"67 Liberty Street ,  Manhattan, NY"
75,en-US,"640 West End Avenue ,  Manhattan, NY"
76,en-US,"115 East 87th Street ,  Manhattan, NY"
77,en-US,"420 East 55th Street ,  Manhattan, NY"
78,en-US,"233 West 26th Street ,  Manhattan, NY"
79,en-US,"7101 Colonial Road ,  Brooklyn, NY"
80,en-US,"2-26 50th Avenue ,  Queens, NY"
81,en-US,"41-30 46th Street ,  Queens, NY"
82,en-US,"200 East 57th Street ,  Manhattan, NY"
83,en-US,"35 West 15th Street ,  Manhattan, NY"
84,en-US,"4555 Henry Hudson Parkway ,  Bronx, NY"
85,en-US,"40 Delancey Street ,  Manhattan, NY"
86,en-US,"50 West 127th Street ,  Manhattan, NY"
87,en-US,"166 East 63rd Street ,  Manhattan, NY"
88,en-US,"90 Saint Marks Avenue ,  Brooklyn, NY"
89,en-US,"1630 8th Avenue ,  Brooklyn, NY"
90,en-US,"115 East 87th Street ,  Manhattan, NY"
91,en-US,"322 West 57th Street ,  Manhattan, NY"
92,en-US,"260 Park Avenue South ,  Manhattan, NY"
93,en-US,"159 West 118th Street ,  Manhattan, NY"
94,en-US,"156 Broadway ,  Brooklyn, NY"
95,en-US,"33 North Elliott Place ,  Brooklyn, NY"
96,en-US,"34 North 7th Street ,  Brooklyn, NY"
97,en-US,"16 West 19th Street ,  Manhattan, NY"
98,en-US,"2098 Fredrick Douglass Boulevard ,  Manhattan, NY"
99,en-US,"72 East 93rd Street ,  Manhattan, NY"
100,en-US,"107-24 71st Road ,  Queens, NY"
101,en-US,"80 John Street ,  Manhattan, NY"
